2025-04-06T22:20:59.653332 | System | STARTUP | SUCCESS | Audit log created.
2025-04-06T22:20:59.653503 | User: System | Action: STARTUP | Status: SUCCESS | Details: Storage initialized.
2025-04-06T22:21:30.970853 | User: System | Action: SHUTDOWN | Status: SUCCESS | Details: 
2025-04-06T22:21:41.462680 | User: System | Action: STARTUP | Status: SUCCESS | Details: Storage initialized.
2025-04-06T22:21:53.149988 | User: System (127.0.0.1) | Action: CONNECT | Status: SUCCESS | Details: 
2025-04-06T22:21:53.154558 | User: test | Action: REGISTER | Status: SUCCESS | Details: 
2025-04-06T22:21:53.155086 | User: System (127.0.0.1) | Action: DISCONNECT | Status: SUCCESS | Details: 
2025-04-06T22:22:03.141930 | User: System (127.0.0.1) | Action: CONNECT | Status: SUCCESS | Details: 
2025-04-06T22:22:03.159834 | User: System (127.0.0.1) | Action: HANDLER_ERROR | Status: FAILURE | Details: module 'hashlib' has no attribute 'compare_digest'
2025-04-06T22:22:03.160227 | User: System (127.0.0.1) | Action: DISCONNECT | Status: SUCCESS | Details: 
2025-04-06T22:22:14.043720 | User: System (127.0.0.1) | Action: CONNECT | Status: SUCCESS | Details: 
2025-04-06T22:22:14.048681 | User: System (127.0.0.1) | Action: HANDLER_ERROR | Status: FAILURE | Details: module 'hashlib' has no attribute 'compare_digest'
2025-04-06T22:22:14.048979 | User: System (127.0.0.1) | Action: DISCONNECT | Status: SUCCESS | Details: 
2025-04-06T22:22:20.762979 | User: System (127.0.0.1) | Action: CONNECT | Status: SUCCESS | Details: 
2025-04-06T22:22:20.765916 | User: test | Action: REGISTER | Status: FAILURE | Details: User 'test' already exists.
2025-04-06T22:22:20.766790 | User: System (127.0.0.1) | Action: DISCONNECT | Status: SUCCESS | Details: 
2025-04-06T22:22:34.117690 | User: System (127.0.0.1) | Action: CONNECT | Status: SUCCESS | Details: 
2025-04-06T22:22:34.120932 | User: test1 | Action: REGISTER | Status: SUCCESS | Details: 
2025-04-06T22:22:34.121842 | User: System (127.0.0.1) | Action: DISCONNECT | Status: SUCCESS | Details: 
2025-04-06T22:22:42.411449 | User: System (127.0.0.1) | Action: CONNECT | Status: SUCCESS | Details: 
2025-04-06T22:22:42.425130 | User: System (127.0.0.1) | Action: HANDLER_ERROR | Status: FAILURE | Details: module 'hashlib' has no attribute 'compare_digest'
2025-04-06T22:22:42.425449 | User: System (127.0.0.1) | Action: DISCONNECT | Status: SUCCESS | Details: 
2025-04-06T22:26:06.557887 | User: System | Action: SHUTDOWN | Status: SUCCESS | Details: 
2025-04-06T22:29:46.948634 | User: System | Action: STARTUP | Status: SUCCESS | Details: Storage initialized.
2025-04-06T22:29:55.532594 | User: System | Action: STARTUP | Status: SUCCESS | Details: Storage initialized.
2025-04-06T22:30:03.508165 | User: System | Action: STARTUP | Status: SUCCESS | Details: Storage initialized.
2025-04-06T22:30:11.333613 | User: System | Action: STARTUP | Status: SUCCESS | Details: Storage initialized.
2025-04-06T22:31:08.255811 | User: System (127.0.0.1) | Action: CONNECT | Status: SUCCESS | Details: 
2025-04-06T22:31:08.260886 | User: test | Action: LOGIN | Status: SUCCESS | Details: 
2025-04-06T22:31:23.082923 | User: System (127.0.0.1) | Action: DISCONNECT | Status: SUCCESS | Details: 
2025-04-06T22:31:28.202491 | User: System (127.0.0.1) | Action: CONNECT | Status: SUCCESS | Details: 
2025-04-06T22:31:28.205587 | User: test1 | Action: LOGIN | Status: FAILURE | Details: Password mismatch
2025-04-06T22:31:28.206525 | User: System (127.0.0.1) | Action: DISCONNECT | Status: SUCCESS | Details: 
2025-04-06T22:31:35.604940 | User: System (127.0.0.1) | Action: CONNECT | Status: SUCCESS | Details: 
2025-04-06T22:31:35.607999 | User: test | Action: LOGIN | Status: SUCCESS | Details: 
2025-04-06T22:31:40.153253 | User: System (127.0.0.1) | Action: DISCONNECT | Status: SUCCESS | Details: 
